"risk_free_rate","date","market_excess","portfolio","average_return"
0.22,01/07/1926,2.96,"ME1BM1",3.7782
0.25,01/08/1926,2.64,"ME1BM1",-2.2074
0.23,01/09/1926,0.36,"ME1BM1",-6.2113
0.32,01/10/1926,-3.24,"ME1BM1",-8.6241
0.31,01/11/1926,2.53,"ME1BM1",3.4744
0.28,01/12/1926,2.62,"ME1BM1",13.9458
0.25,01/01/1927,-0.06,"ME1BM1",0.4474
0.26,01/02/1927,4.18,"ME1BM1",2.4884
0.3,01/03/1927,0.13,"ME1BM1",6.3998
0.25,01/04/1927,0.46,"ME1BM1",5.8363
0.3,01/05/1927,5.44,"ME1BM1",9.0109
0.26,01/06/1927,-2.34,"ME1BM1",-3.6452
0.3,01/07/1927,7.26,"ME1BM1",24.4089
0.28,01/08/1927,1.97,"ME1BM1",11.7732
0.21,01/09/1927,4.76,"ME1BM1",-4.9477
0.25,01/10/1927,-4.31,"ME1BM1",-8.8937
0.21,01/11/1927,6.58,"ME1BM1",6.8966
0.22,01/12/1927,2.09,"ME1BM1",-3.9895
0.25,01/01/1928,-0.68,"ME1BM1",-8.2364
0.33,01/02/1928,-1.7,"ME1BM1",0.6463
0.29,01/03/1928,8.81,"ME1BM1",40.0538
0.22,01/04/1928,4.23,"ME1BM1",-12.8663
0.32,01/05/1928,1.52,"ME1BM1",17.7179
0.31,01/06/1928,-4.85,"ME1BM1",-19.2709
0.32,01/07/1928,0.62,"ME1BM1",-2.0217
0.32,01/08/1928,6.68,"ME1BM1",7.5257
0.27,01/09/1928,2.88,"ME1BM1",3.7129
0.41,01/10/1928,1.33,"ME1BM1",-3.9425
0.38,01/11/1928,11.81,"ME1BM1",3.8603
0.06,01/12/1928,0.36,"ME1BM1",-5.4317
0.34,01/01/1929,4.66,"ME1BM1",2.9249
0.36,01/02/1929,-0.34,"ME1BM1",0.9617
0.34,01/03/1929,-0.89,"ME1BM1",-14.5269
0.36,01/04/1929,1.43,"ME1BM1",-4.4228
0.44,01/05/1929,-6.39,"ME1BM1",-21.8773
0.52,01/06/1929,9.7,"ME1BM1",15.9956
0.33,01/07/1929,4.46,"ME1BM1",1.239
0.4,01/08/1929,8.18,"ME1BM1",-4.1263
0.35,01/09/1929,-5.47,"ME1BM1",-10.3134
0.46,01/10/1929,-20.12,"ME1BM1",-26.2937
0.37,01/11/1929,-12.74,"ME1BM1",-1.3563
0.37,01/12/1929,1.33,"ME1BM1",-0.4171
0.14,01/01/1930,5.61,"ME1BM1",-2.7769
0.3,01/02/1930,2.5,"ME1BM1",16.9723
0.35,01/03/1930,7.1,"ME1BM1",22.8187
0.21,01/04/1930,-2.06,"ME1BM1",-6.9121
0.26,01/05/1930,-1.66,"ME1BM1",-2.4085
0.27,01/06/1930,-16.27,"ME1BM1",-13.4475
0.2,01/07/1930,4.12,"ME1BM1",2.6405
0.09,01/08/1930,0.3,"ME1BM1",-9.329
0.22,01/09/1930,-12.75,"ME1BM1",-30.8037
0.09,01/10/1930,-8.78,"ME1BM1",-31.8635
0.13,01/11/1930,-3.04,"ME1BM1",19.7776
0.14,01/12/1930,-7.83,"ME1BM1",-18.3651
0.15,01/01/1931,6.24,"ME1BM1",-23.7063
