"date","hf_excess_return","market_excess_return","high_minus_low","small_minus_big"
01/07/1926,-3.77212,2.96,-2.87,-2.3
01/08/1926,6.6704,2.64,4.19,-1.4
01/09/1926,-1.25794,0.36,0.01,-1.32
01/10/1926,-2.53438,-3.24,0.51,0.04
01/11/1926,1.82628,2.53,-0.35,-0.2
01/12/1926,2.5725,2.62,-0.02,-0.04
01/01/1927,5.84994,-0.06,4.83,-0.56
01/02/1927,8.44175,4.18,3.17,-0.1
01/03/1927,-5.4935,0.13,-2.67,-1.6
01/04/1927,1.81305,0.46,0.6,0.43
01/05/1927,13.97026,5.44,4.93,1.41
01/06/1927,-3.86993,-2.34,-1.53,0.47
01/07/1927,1.77086,7.26,-1.16,-3.23
01/08/1927,-3.92739,1.97,-3.69,-0.72
01/09/1927,-0.56492,4.76,-0.71,-3.57
01/10/1927,-7.64403,-4.31,-4.33,2.13
01/11/1927,9.64368,6.58,-0.31,2.76
01/12/1927,1.82251,2.09,-1.06,0.93
01/01/1928,3.57705,-0.68,-0.72,4.25
01/02/1928,-5.16069,-1.7,-0.69,-2.03
01/03/1928,6.94771,8.81,-1.2,-0.26
01/04/1928,14.00772,4.23,3.67,3.82
01/05/1928,0.49615,1.52,-3.46,2.98
01/06/1928,-9.30968,-4.85,-0.06,-3.5
01/07/1928,-1.67689,0.62,-0.47,-1.35
01/08/1928,1.31603,6.68,-2.11,-2.07
01/09/1928,7.14397,2.88,0.99,2.33
01/10/1928,1.05597,1.33,-2.26,2.27
01/11/1928,13.54507,11.81,2.8,-1.81
01/12/1928,-1.49525,0.36,-0.6,-0.85
01/01/1929,-1.30195,4.66,-1.21,-3.54
01/02/1929,1.4745,-0.34,1.68,-0.39
01/03/1929,-4.54388,-0.89,1.61,-4.74
01/04/1929,1.02671,1.43,0.6,-1
01/05/1929,-14.98501,-6.39,-1.4,-5.35
01/06/1929,3.36062,9.7,-2.76,-2.17
01/07/1929,3.35953,4.46,2.66,-3.88
01/08/1929,-3.37815,8.18,0.06,-9.52
01/09/1929,-4.94249,-5.47,-0.63,1.17
01/10/1929,-14.67694,-20.12,7.85,-4.08
01/11/1929,-7.96393,-12.74,5.33,-1.9
01/12/1929,-4.80408,1.33,-0.59,-4.33
01/01/1930,8.66834,5.61,-1.01,3.54
01/02/1930,3.22957,2.5,0.39,0.13
01/03/1930,11.61422,7.1,0.15,3.43
01/04/1930,-3.48462,-2.06,-0.84,-0.2
01/05/1930,-5.05617,-1.66,-0.63,-2.04
01/06/1930,-17.72277,-16.27,2,-3.24
01/07/1930,1.5886,4.12,-1.56,-0.37
01/08/1930,-3.49372,0.3,-0.78,-2.22
01/09/1930,-22.85111,-12.75,-5.27,-2.22
01/10/1930,-10.85512,-8.78,-1.35,-0.1
01/11/1930,-5.17573,-3.04,-3.53,2.21
01/12/1930,-21.07247,-7.83,-5.4,-4.67
01/01/1931,20.75738,6.24,7.16,3.77
01/02/1931,17.37595,10.88,1.61,3.38
01/03/1931,-7.72395,-6.43,-3.66,3.07
01/04/1931,-21.18923,-9.98,-3.94,-4.62
01/05/1931,-16.01583,-13.24,-6.58,5.17
01/06/1931,22.88323,13.9,11.31,-5.38
01/07/1931,-7.79989,-6.62,-2.1,1.43
01/08/1931,-4.05998,0.41,-1.49,-1.97
01/09/1931,-38.01432,-29.13,-6.75,0.56
01/10/1931,8.15601,8.04,1.7,-1.87
01/11/1931,-10.77244,-9.08,-5.05,4.3
01/12/1931,-26.48592,-13.53,-8.86,-0.56
01/01/1932,15.61885,-1.58,9.04,3.94
01/02/1932,0.11858,5.46,-1.45,-2.77
01/03/1932,-11.7067,-11.21,-2.32,2.27
01/04/1932,-14.45451,-17.96,1.42,1.44
01/05/1932,-20.02398,-20.51,-2.99,3.91
01/06/1932,6.96084,-0.7,5.3,0.34
01/07/1932,77.20829,33.84,35.46,-4.44
01/08/1932,100.26264,37.06,33.03,14.29
01/09/1932,-15.29939,-2.94,-6.82,-2.44
01/10/1932,-30.46018,-13.17,-10.05,-2.76
01/11/1932,-21.53395,-5.88,-13.28,2.08
01/12/1932,-16.90716,4.4,-8.17,-8.27
01/01/1933,10.63134,1.25,6.23,0.69
01/02/1933,-22.54997,-15.24,-2.73,-2.75
01/03/1933,18.22552,3.29,7.38,3.9
01/04/1933,68.75761,38.85,17.43,4.56
01/05/1933,92.96284,21.43,19.03,36.7
01/06/1933,21.02406,13.11,-2.05,8.56
01/07/1933,-6.52673,-9.63,3.27,-1.01
01/08/1933,9.50796,12.05,2.96,-5.45
01/09/1933,-27.24091,-10.65,-11.77,-0.32
01/10/1933,-20.11579,-8.36,-8.46,-0.08
01/11/1933,5.28177,9.97,2.33,-6.48
01/12/1933,0.57733,1.83,-1.53,0.66
01/01/1934,49.43288,12.6,15.54,12.53
01/02/1934,6.77125,-2.5,2.12,5.19
01/03/1934,-0.54003,0.09,-2.73,2.51
01/04/1934,-3.48245,-1.79,-3.75,2.8
01/05/1934,-15.72171,-7.25,-5.91,-0.26
01/06/1934,-3.95111,2.64,-2.92,-2.14
01/07/1934,-34.16478,-10.96,-10.64,-6.92
01/08/1934,12.90925,5.58,0.45,5.39
01/09/1934,-3.75419,-0.23,-1.22,-1.5
01/10/1934,-7.11669,-1.66,-5.11,1.25
01/11/1934,13.39868,8.33,-2.24,6.5
01/12/1934,-0.23298,0.36,-3.2,3.06
01/01/1935,-4.67834,-3.45,-1.86,1.1
01/02/1935,-11.39531,-1.94,-7.27,0.41
01/03/1935,-15.09796,-3.68,-5.1,-3.57
01/04/1935,13.24302,9.06,4.35,-1.51
01/05/1935,2.84376,3.47,2.56,-3.38
01/06/1935,0.64968,5.93,-1.65,-2.51
01/07/1935,18.79411,7.51,6.86,1.47
01/08/1935,18.22406,2.65,5.7,6.28
01/09/1935,-0.93927,2.63,-4.05,1.57
01/10/1935,7.19553,7.03,-2.33,2.64
01/11/1935,26.48733,4.88,11.91,4.28
01/12/1935,6.35836,4.56,1.07,0.23
01/01/1936,27.67155,6.89,10.51,5.14
01/02/1936,10.81009,2.49,5.04,1.14
01/03/1936,-0.45729,0.99,-1.66,0.65
01/04/1936,-18.53854,-8.14,-2.08,-6.04
01/05/1936,9.87785,5.19,2.63,0.83
01/06/1936,-3.24019,2.4,-1.2,-3.26
01/07/1936,11.66285,6.67,2.56,1.14
01/08/1936,7.33613,0.99,3.99,0.72
01/09/1936,5.98042,0.98,0.88,3.07
01/10/1936,7.69358,7.12,2.52,-2.39
01/11/1936,13.17734,3.27,-0.92,9.01
01/12/1936,10.08007,0.21,3.96,3.61
01/01/1937,12.26782,3.35,2.61,4.31
01/02/1937,9.52869,1.09,5.05,1.23
01/03/1937,6.25489,-0.27,6.39,-1.78
01/04/1937,-17.03948,-7.36,-3.61,-3.77
01/05/1937,-6.42943,-0.83,-3.49,-0.66
01/06/1937,-13.14012,-4.21,-3.21,-3.65
01/07/1937,11.17865,8.91,0.82,0.85
01/08/1937,-7.46586,-4.86,-2.25,0.42
01/09/1937,-28.51374,-13.61,-4.57,-6.89
01/10/1937,-11.39275,-9.61,-1.62,0.45
01/11/1937,-12.63525,-8.31,0.2,-3.65
01/12/1937,-14.39588,-4.24,-0.39,-7.76
01/01/1938,4.44498,0.49,-1.6,4.97
01/02/1938,3.58565,5.84,-2.02,0.35
01/03/1938,-34.15186,-23.82,-3.52,-4.24
01/04/1938,22.7962,14.51,0.18,6.37
01/05/1938,-7.30409,-3.83,-0.28,-2.47
01/06/1938,29.55684,23.87,0.3,4.05
01/07/1938,18.61668,7.34,2.18,6.66
01/08/1938,-12.16262,-2.67,-4.72,-2.44
01/09/1938,-4.75889,0.81,-1.62,-2.72
01/10/1938,21.92397,7.8,5.01,5.83
01/11/1938,-6.58371,-1.72,-1.23,-2.56
01/12/1938,2.71145,4.19,0.5,-1.8
01/01/1939,-13.31448,-5.96,-3.92,-1.56
01/02/1939,8.36552,3.51,2.95,0.63
01/03/1939,-29.33844,-11.99,-8.29,-4.76
01/04/1939,1.45793,-0.18,-0.3,1.66
01/05/1939,10.98161,6.8,0.47,2.81
01/06/1939,-14.01893,-5.31,-5.41,-1.02
01/07/1939,15.64949,10.24,-0.03,4.32
01/08/1939,-15.75605,-6.68,-2.42,-4.61
01/09/1939,72.40296,16.88,22.22,20.23
01/10/1939,-7.23204,-0.53,-4.89,-0.01
01/11/1939,-18.7385,-3.62,-6.46,-5.07
01/12/1939,-1.50398,3.03,-4.06,0.79
01/01/1940,-3.18569,-2.41,-0.77,0.24
01/02/1940,4.11201,1.44,-0.32,2.51
01/03/1940,1.88261,2.05,-1.27,1.25
01/04/1940,4.88386,0.22,-0.13,3.92
01/05/1940,-35.46261,-21.95,-3.69,-6.66
01/06/1940,10.44231,6.67,4.63,-2.13
01/07/1940,3.43691,3.16,-0.74,1.01
01/08/1940,2.84507,2.19,0.56,-0.11
01/09/1940,4.84733,2.39,-1.13,3.22
01/10/1940,9.73088,3.02,4.64,0.28
01/11/1940,0.9191,-1.61,0.12,1.94
01/12/1940,-3.16805,0.69,-0.89,-2.15
01/01/1941,2.25559,-4.17,3.83,1
01/02/1941,-2.17866,-1.43,0.89,-1.57
01/03/1941,5.13454,0.84,3.04,0.1
01/04/1941,-2.94531,-5.46,3.41,-1.69
01/05/1941,1.41658,1.39,0.6,-0.66
01/06/1941,8.34218,5.83,0.59,1.32
01/07/1941,22.88511,5.87,7.25,5.7
01/08/1941,-2.18645,-0.17,-1.1,-0.41
01/09/1941,-2.47754,-0.87,-0.28,-0.99
01/10/1941,-5.5745,-5.25,1.63,-2.02
01/11/1941,-4.30432,-1.92,-0.64,-1.21
01/12/1941,-16.72288,-4.87,-5.94,-2.98
01/01/1942,23.8823,0.79,10.1,7.52
01/02/1942,-1.90655,-2.46,-1.13,1.72
01/03/1942,-5.30224,-6.58,-0.62,1.78
01/04/1942,-2.31559,-4.37,2.09,-0.6
01/05/1942,-1.37742,5.94,-2.65,-3.05
01/06/1942,1.94741,2.69,0.54,-1.22
01/07/1942,6.63096,3.51,2.4,-0.16
01/08/1942,3.53115,1.8,1.33,-0.09
01/09/1942,6.72144,2.61,2.39,0.66
01/10/1942,17.97861,6.82,6.47,1.82
01/11/1942,-7.54648,0.15,-4.24,-1.54
01/12/1942,2.87262,5.12,0.56,-2.49
01/01/1943,29.30196,7.13,8.23,8.78
01/02/1943,21.09877,6.15,6.51,4.84
01/03/1943,19.76667,6.01,5.48,5.03
01/04/1943,11.36779,0.81,5.86,2.06
01/05/1943,15.73243,5.74,3.28,4.41
01/06/1943,-0.48479,1.82,-0.74,-1.06
01/07/1943,-10.90773,-4.77,-2.27,-2.41
01/08/1943,-0.08801,1.3,-0.47,-0.62
01/09/1943,5.96241,2.4,1.43,1.28
01/10/1943,1.81125,-1.15,1.65,0.58
01/11/1943,-13.52198,-5.91,-4.04,-1.64
01/12/1943,14.95066,6.36,3.22,3.34
01/01/1944,7.88375,1.74,2.17,2.56
01/02/1944,1.38988,0.37,0.83,-0.1
01/03/1944,9.27506,2.46,3.43,1.71
01/04/1944,-4.92038,-1.69,-1.13,-1.35
01/05/1944,8.57507,5.07,1.02,1.67
01/06/1944,13.03053,5.49,1.82,4.04
01/07/1944,-1.41127,-1.49,-0.43,0.55
01/08/1944,2.33225,1.57,-1.63,2.41
01/09/1944,-1.06904,0.01,-1.21,0.47
01/10/1944,-0.48473,0.16,-0.34,-0.14
01/11/1944,5.34333,1.71,2.31,0.37
01/12/1944,14.9145,4.03,5.91,2.24
01/01/1945,6.0207,2.01,0.71,2.44
01/02/1945,14.24618,6.23,4.4,1.56
01/03/1945,-8.35624,-3.89,-1.78,-1.61
01/04/1945,12.66595,7.8,3.21,0.32
01/05/1945,4.08695,1.73,0.35,1.51
01/06/1945,10.12134,0.39,4.32,3.1
01/07/1945,-7.70133,-2.17,-2.71,-1.46
01/08/1945,2.24802,6.2,-4.4,1.61
01/09/1945,7.60198,4.77,0.48,1.71
01/10/1945,10.04782,3.89,2.25,2.46
01/11/1945,16.52537,5.39,4.34,4.16
01/12/1945,0.66059,1.2,-2.32,2.12
01/01/1946,14.3039,6.24,2.21,4.02
01/02/1946,-8.53963,-5.83,-1.27,-0.73
01/03/1946,5.83989,5.87,-0.36,0.31
01/04/1946,7.81899,4.23,0.45,2.37
01/05/1946,7.25885,3.93,1.09,1.46
01/06/1946,-6.63971,-3.89,-0.59,-1.53
01/07/1946,-5.21904,-2.69,0.04,-2.06
01/08/1946,-7.89293,-6.44,0.6,-1.78
01/09/1946,-18.41082,-10.17,-1.96,-4.41
01/10/1946,3.34507,-1.44,3.44,0.09
